attention,blinkStrength,delta,highAlpha,highBeta,highGamma,lowAlpha,lowBeta,lowGamma,meditation,theta,label
48,0,973481,17971,15797,6648,29405,35931,8258,48,95137,0
48,0,792067,17482,11455,3435,55209,28342,4427,43,166032,0
48,82,792067,17482,11455,3435,55209,28342,4427,43,166032,0
48,0,706745,100050,88868,8033,133564,27006,6802,38,404136,0
48,90,706745,100050,88868,8033,133564,27006,6802,38,404136,0
48,0,706745,100050,88868,8033,133564,27006,6802,38,404136,0
48,0,706745,100050,88868,8033,133564,27006,6802,38,404136,0
43,0,686266,6889,17805,5820,17511,11882,15049,43,59709,0
43,99,686266,6889,17805,5820,17511,11882,15049,43,59709,0
43,101,686266,6889,17805,5820,17511,11882,15049,43,59709,0
48,0,72637,2812,3853,493,3625,5568,986,35,43588,0
35,0,111197,2026,3151,1706,10578,5290,2075,26,53160,0
50,0,490369,19858,6907,813,12242,3739,1665,38,21728,0
50,96,490369,19858,6907,813,12242,3739,1665,38,21728,0
50,86,490369,19858,6907,813,12242,3739,1665,38,21728,0
29,0,1050179,10316,3549,1055,22698,13160,1606,43,52102,0
24,0,371085,32073,10008,1969,31356,20370,4501,53,122496,0
26,0,379730,52859,30469,4513,56254,56394,12051,53,519123,0
26,83,379730,52859,30469,4513,56254,56394,12051,53,519123,0
26,85,379730,52859,30469,4513,56254,56394,12051,53,519123,0
43,0,1337960,7274,20863,3453,62877,24732,8444,38,161329,0
43,85,1337960,7274,20863,3453,62877,24732,8444,38,161329,0
43,0,1337960,7274,20863,3453,62877,24732,8444,38,161329,0
43,0,1337960,7274,20863,3453,62877,24732,8444,38,161329,0
51,0,231872,17449,6741,2021,18382,24245,2269,41,22418,0
51,89,231872,17449,6741,2021,18382,24245,2269,41,22418,0
50,0,269477,3989,2129,653,7461,2909,642,44,44253,0
51,0,488623,10976,23286,2635,35081,17460,6275,51,48949,0
51,87,488623,10976,23286,2635,35081,17460,6275,51,48949,0
44,0,844785,34973,18250,1868,39341,27716,2407,48,254014,0
44,84,844785,34973,18250,1868,39341,27716,2407,48,254014,0
